Name,Points,Levels Cleared,Start Timestamp,Game Version
Test2,1650,4,2021-05-27 19:10:35.616926,v0.1.0
dasd,650,2,2021-05-27 19:11:32.520551,v0.1.0
asd,4550,6,2021-05-27 19:11:32.520551,v0.1.0
asdqwe,6100,7,2021-05-27 19:13:05.224651,v0.1.0
123,2200,5,2021-05-27 19:13:05.224651,v0.1.0
Defense,2250,4,2021-05-27 21:02:41.590083,v0.1.1
asd,3050,5,2021-05-27 21:02:41.590083,v0.1.1
last,2100,4,2021-05-27 21:02:41.590083,v0.1.1
Angel,2600,4,2021-05-27 22:55:55.490955,v0.1.3
Kuya,6400,6,2021-05-27 22:55:55.490955,v0.1.3
asd,4500,5,2021-05-27 23:12:24.141708,v0.1.4
Test,5250,7,2021-05-27 23:14:51.637773,v0.1.4
hh,0,1,2021-05-27 23:59:21.415395,v0.1.5
ff,0,1,2021-05-27 23:59:21.415395,v0.1.5
tt,0,1,2021-05-27 23:59:21.415395,v0.1.5
c,4900,5,2021-05-28 07:36:12.955473,v0.1.5
testg,6900,7,2021-05-28 07:43:22.745627,v0.1.5
qwert123,3600,7,2021-05-28 09:44:30.992270,v0.1.6
<s>,2300,5,2021-05-28 10:14:06.172555,v0.1.6
<f>,4150,6,2021-05-28 10:14:06.172555,v0.1.6
asd,4900,6,2021-05-28 10:23:14.658253,v0.1.7
qwe,3700,6,2021-05-28 10:23:14.658253,v0.1.7
<asd>,800,3,2021-05-28 11:33:33.687007,v0.1.7
<dsa>,0,1,2021-05-28 11:33:33.687007,v0.1.7
<SciPy1>,1850,5,2021-05-28 11:55:30.550441,v0.1.7
<Scipy2<>,2700,6,2021-05-28 11:55:30.550441,v0.1.7
Kuya,1750,5,2021-05-28 13:38:02.621664,v0.1.7
Angel,350,2,2021-05-28 13:38:02.621664,v0.1.7
<N>,6750,7,2021-05-28 13:51:50.807109,v0.1.7
<NR>,5750,10,2021-05-28 13:51:50.807109,v0.1.7
Test,0,1,2021-05-28 16:31:41.809155,v0.1.7
asd,50,1,2021-05-28 17:11:00.079982,v0.1.7
Latest,7400,8,2021-07-02 09:07:08.374527,v0.1.7
